timestamp,irradiance,temperature,humidity,voltage,current,power,battery,data_source
2026-03-15 00:00:00,1.92,22.03,68.01,0.027,0.0,0.0,3.62,
2026-03-15 00:10:00,2.21,22.68,70.73,0.01,0.0,0.0,3.62,
2026-03-15 00:20:00,1.27,22.03,67.76,0.061,0.0,0.0,3.62,
2026-03-15 00:30:00,0.08,22.2,69.66,0.065,0.0,0.0,3.61,
2026-03-15 00:40:00,0.66,22.59,70.36,0.001,0.0,0.0,3.61,
2026-03-15 00:50:00,2.42,22.7,68.3,0.019,0.0,0.0,3.61,
2026-03-15 01:00:00,2.87,22.34,67.21,0.012,0.0,0.0,3.61,
2026-03-15 01:10:00,2.54,22.6,70.35,0.088,0.0,0.0,3.61,
2026-03-15 01:20:00,1.61,22.97,68.47,0.066,0.0,0.0,3.61,
2026-03-15 01:30:00,2.49,22.62,70.59,0.069,0.0,0.0,3.6,
2026-03-15 01:40:00,2.11,22.05,67.8,0.035,0.0,0.0,3.6,
2026-03-15 01:50:00,0.24,22.23,67.24,0.033,0.0,0.0,3.6,
2026-03-15 02:00:00,1.91,22.36,68.43,0.025,0.0,0.0,3.6,
2026-03-15 02:10:00,0.8,22.94,69.65,0.073,0.0,0.0,3.6,
2026-03-15 02:20:00,0.51,22.73,67.52,0.046,0.0,0.0,3.6,
2026-03-15 02:30:00,2.97,22.64,69.25,0.082,0.0,0.0,3.59,
2026-03-15 02:40:00,2.53,22.78,67.81,0.004,0.0,0.0,3.59,
2026-03-15 02:50:00,0.95,22.27,67.73,0.113,0.0,0.0,3.59,
2026-03-15 03:00:00,2.63,22.31,69.68,0.047,0.0,0.0,3.59,
2026-03-15 03:10:00,2.74,22.46,67.97,0.03,0.0,0.0,3.59,
2026-03-15 03:20:00,1.68,22.26,69.37,0.108,0.0,0.0,3.59,
2026-03-15 03:30:00,1.2,22.22,71.19,0.061,0.0,0.0,3.58,
2026-03-15 03:40:00,0.27,22.05,67.28,0.075,0.0,0.0,3.58,
2026-03-15 03:50:00,2.38,22.42,67.08,0.046,0.0,0.0,3.58,
2026-03-15 04:00:00,2.99,22.53,71.07,0.103,0.0,0.0,3.58,
2026-03-15 04:10:00,0.03,22.72,69.8,0.064,0.0,0.0,3.58,
2026-03-15 04:20:00,0.8,22.64,67.29,0.052,0.0,0.0,3.58,
2026-03-15 04:30:00,1.36,22.95,70.65,0.032,0.0,0.0,3.58,
2026-03-15 04:40:00,1.5,22.18,70.82,0.104,0.0,0.0,3.57,
2026-03-15 04:50:00,0.9,22.64,69.48,0.018,0.0,0.0,3.57,
2026-03-15 05:00:00,2.29,22.54,70.23,0.064,0.0,0.0,3.57,
